scores,average_scores,std
-1554.138639068135,-1554.138639068135,0.0
-1262.2023034418962,-1408.1704712550156,145.9681678131194
-1502.0282639927411,-1439.4564021675908,127.1302073569149
-1580.78851805786,-1474.7894311401583,125.96362977497901
-1416.5608437175656,-1463.1437136556397,115.0476412786775
-1545.464599172739,-1476.8638612418229,109.41288186843437
-1493.4473450654014,-1479.2329303594768,101.46272843398009
-1496.9779744413242,-1481.4510608697078,95.09095816286668
-1529.985902039583,-1486.843820999694,90.94089450826192
-1565.0834186755467,-1494.6677807672793,89.41001500150684
-1310.5830868545956,-1477.9328085933992,100.33943760526843
-1523.6841463250369,-1481.7454200710356,96.89632903144417
-1524.8677518990594,-1485.062522519345,93.80145860233867
-1303.0657302362074,-1472.0627516419784,101.81923515591467
-1524.4825741817806,-1475.557406477965,99.23199809102586
-1593.1684503839929,-1482.9080967220914,100.2099910727108
-1361.1948966555378,-1475.7484967181765,101.34836898059392
-1562.0280800567964,-1480.5418069036555,100.4561717342229
-1530.0280648578698,-1483.1463467959825,98.39928452464257
-1519.0866673500072,-1484.9433628236836,96.22709753851026
-1523.4145240301455,-1486.7753228811341,94.26473324975555
-1510.9157221984635,-1487.8726137591946,92.23460907993747
-1418.2147237400554,-1484.8440098453189,91.31887845928294
-1361.7454561024213,-1479.714903439365,92.71866773188945
-1097.9644990995757,-1464.444887265773,117.68195590972906
-1509.4402874050936,-1466.175479578824,115.72061614219815
-1541.8224996284373,-1468.9772210621431,114.45253168677061
-1579.7024988469702,-1472.931695268744,114.25309329077758
-1420.9302122248891,-1471.138540681025,112.66619122100343
-1381.794745144447,-1468.1604141631392,111.92745944842571
-1545.4106454609846,-1470.652357108231,110.95011672267779
-1324.5609263263136,-1466.086999896296,112.12207730371897
-1458.3273470283937,-1465.851858900299,110.4182015360394
-1375.7906918156084,-1463.203001044867,109.84137884075724
-1560.514329936399,-1465.983324727482,109.46797404199349
-1362.1677454600633,-1463.0995586367205,109.27686570021925
-1421.4006059251371,-1461.972559914786,108.00192810745432
-1477.7715542776596,-1462.3883229243352,106.60137862712757
-1405.0533517053389,-1460.9181954571816,105.6153468799635
-1199.6333781184042,-1454.386075023712,111.98130092161479
-1483.7355626092274,-1455.1019161843342,110.6998637377888
-1556.2491679199832,-1457.510184082802,110.45576899164173
-910.5440704585905,-1444.7900419054947,136.79338286986228
-972.7910835200968,-1434.0627928512813,152.431373456381
-1087.4393901547062,-1426.3600505691352,159.152761805489
-1193.3393626345096,-1421.2943834401215,161.0394434083476
-1468.6376184039143,-1422.3016863116914,159.46346211598407
-1565.721092333677,-1425.2895906038164,159.11765843339134
-1514.0568384028397,-1427.1011670895107,157.98497851860108
-1212.9735134859566,-1422.8186140174396,159.2442813689476
-1537.165233725617,-1425.060704599953,158.47037401079132
-1169.1277764216009,-1420.1389175196002,160.82705999241048
-1427.1427769486334,-1420.271065810714,159.30544864129175
-1388.7754625549874,-1419.6878138985708,157.8806147292942
-1496.939901792249,-1421.0923973148197,156.7788806206544
-1555.2747854106665,-1423.4885113879593,156.38564708776013
-1318.7807862344073,-1421.6515337536864,155.6161334485851
-1566.3528280690962,-1424.1463836556763,155.414416684011
-1456.1851956636815,-1424.6894143676764,154.1472034954949
-1546.5781654933442,-1426.7208935531041,153.6516359373553
-1318.6237039410757,-1424.948808477497,153.00396215587205
-1290.5283105537624,-1422.7807359303401,152.70678182913414
-1238.6941822319905,-1419.8587271414774,153.227207173944
-1578.8050202383865,-1422.3422629711167,153.29809234329306
-1539.9310384517605,-1424.1513210554342,152.80122445260847
-1520.4893772813753,-1425.6109885740093,152.09518163078937
-1557.1768466688911,-1427.5746580978134,151.7964832208363
-1259.78173804326,-1425.1071151558347,152.02389387977763
-1392.0686547953546,-1424.6282968897408,150.96989303225857
-1523.276347241198,-1426.0375547519045,150.34408681646806
-1567.5582501340014,-1428.0308039826382,150.21018757538363
-1558.6007343928593,-1429.8442752383355,149.94405688100906
-1486.0592297519092,-1430.6143431083844,149.05679186797502
-1431.9213141871803,-1430.6320048797195,148.04630260149312
-1471.7454855524475,-1431.1801846220224,147.13160329219002
-1604.874473093791,-1433.4656357861247,147.49446410591443
-1587.4806649345392,-1435.4658309698702,147.56743810167973
-1218.855335835966,-1432.6887733399485,148.62972506308876
-1532.2779262624817,-1433.9493955288413,148.1050977560743
-1563.8485231783482,-1435.5731346244604,147.88244231473277
-1532.5466733720432,-1436.7703388065293,147.3563376413465
-1474.575129228928,-1437.2313728360707,146.51383363358178
-1489.6549843023556,-1437.862982612773,145.74081658420505
-1127.7070589764219,-1434.1706501885305,148.72487801224773
-1617.1470008098383,-1436.3233131370166,149.15802764837068
-1304.3890572652037,-1434.7891938826933,148.96129542587605
-1494.965429928824,-1435.4808747567868,148.24156135542788
-1621.9870164980928,-1437.6002627311198,148.71659390631973
-1203.6470207773184,-1434.9715746192794,149.92065901622232
-1168.4647015550336,-1432.0103871407878,151.68017861285304
-1579.9450063613954,-1433.636042297058,151.63080718067184
-1508.0799512445453,-1434.4452152204,151.0018971603324
-1496.1817912441425,-1435.1090493711931,150.3227757661386
-1024.125502337993,-1430.7368839772228,155.3522326191041
-1531.1651898446905,-1431.7940240389858,154.871947061521
-1504.8458894974178,-1432.5549809708446,154.24163890268477
-1596.347092025561,-1434.2435594353262,154.33387506450873
-1087.8014656942717,-1430.7084360298052,157.44241166239297
-1507.5374480155,-1431.4844866559233,156.83350712986675
-1495.393967294242,-1432.1235814623067,156.1768780711488
-1520.178237749303,-1431.7839774491183,155.9479445048167
-1541.0161722606615,-1434.5721161373058,155.38251175784026
-1236.9628324708406,-1431.9214618220867,156.4662582250671
-1473.1354203323465,-1430.8449308448317,155.8072621652989
-1502.6615591953953,-1431.7059379996101,155.96376995876778
-1492.8151439289131,-1431.179443447172,155.66744477832148
-1553.787754922123,-1431.7828475457388,156.02417867758064
-1525.7366469653753,-1432.0704342709798,156.17051816662968
-1529.3155648553052,-1432.0637308991365,156.1663294869883
-1558.396262152306,-1431.996859333904,156.11077702964442
-1286.0602184364584,-1431.7516306497228,156.3204291120631
-1602.4198853919743,-1432.5389880403923,156.9783975058436
-1436.5486395591827,-1431.6557969169935,156.70466497088884
-1494.6530260675593,-1433.5716698753074,156.29143901942587
-1484.4902968385543,-1433.171747101875,156.1093626693743
-1465.8762482114628,-1431.8988250801494,155.3165128886225
-1512.807544663514,-1433.4149515602292,155.35891442230636
-1512.7606719072144,-1432.9222774787331,155.02804142439527
-1488.6804547275187,-1432.5088013774302,154.82350296151265
-1185.5234245151275,-1429.1731689490812,156.5063932261265
-1322.9746195169694,-1427.1687699039494,156.57011366815348
-1492.9406957044348,-1426.9890196390086,156.48415934512224
-1491.579768009126,-1427.7226700816996,156.6132294796402
-1496.9062269561737,-1429.0742777902371,156.62123266791775
-1554.0336775933379,-1433.634969575175,153.52270930844907
-1161.4633169312506,-1430.1551998704367,155.69336241190513
-1380.644127462317,-1428.5434161487751,155.36293913580872
-1199.8874466361451,-1424.7452656266673,156.26119720085478
-1635.398816596575,-1426.889951670384,157.65965150112456
-1164.05838834393,-1424.712588102379,159.75698209980956
-1516.5725426400888,-1424.4242070741698,159.56475948027102
-1439.808565841477,-1425.5766834693213,159.25521750537692
-1607.5874627375763,-1427.0692846264128,160.2515198758924
-1505.1401943685344,-1428.3627796519424,160.35439570471877
-1483.2119217896823,-1427.5897555704753,159.90115264469364
-1537.9680459038207,-1429.3477585749126,160.13844422323535
-1443.477089129941,-1429.5685234069608,160.1425533348152
-1445.795687541535,-1429.2487647395994,160.07789675559857
-1503.4287023433744,-1430.23251824598,160.22839233433245
-1360.8677200252314,-1431.8448616650485,158.70379068185497
-1588.2294973473852,-1432.88980101243,159.38455500104305
-1468.566356451517,-1432.0129728977454,158.94407940335324
-1543.5756589822065,-1438.3432887829817,150.42709744366348
-1442.7531463148468,-1443.0429094109288,142.9651395322019
-1510.379463013886,-1447.2723101395209,138.5710892516043
-1558.5434532588479,-1450.924351045764,136.6294354384157
-1438.5917984672064,-1450.623892846397,136.62318863654386
-1490.476316250403,-1449.8714450855641,136.1937516877975
-1431.5411823291593,-1449.0462885248273,136.05226735935705
-1530.0791712858613,-1452.2173451028261,134.19584041072656
-1547.806301363998,-1452.3237557792102,134.26735756722647
-1565.8973780228505,-1456.2914517952229,131.67752559135602
-1534.053642523217,-1457.3605604509683,131.8703942633049
-1561.494743327376,-1459.0877532586926,132.09170228316304
-1559.2334600046602,-1459.7106888408164,132.41523151675088
-1480.0676520191175,-1458.9586175069014,132.08348503999184
-1488.8969779260715,-1460.6597794238178,131.36064052403773
-1501.360015201015,-1460.0098512951372,130.99637536556833
-1593.9100285007094,-1461.3870996235073,131.67118075193497
-1499.1308169819297,-1460.9126261383933,131.44864175974047
-1365.7208000848402,-1461.3835970998307,131.02166641631234
-1543.892233334624,-1463.9172363276396,130.13999847816424
-1493.0056002141412,-1466.460350507461,128.1840819382001
