scores,average_scores
0.0,0.0
0.0,0.0
1.0,0.3333333333333333
-2.0,-0.25
-1.0,-0.4
0.0,-0.3333333333333333
0.0,-0.2857142857142857
-1.0,-0.375
0.0,-0.3333333333333333
-1.0,-0.4
-1.0,-0.45454545454545453
0.0,-0.4166666666666667
0.0,-0.38461538461538464
-2.0,-0.5
0.0,-0.4666666666666667
1.0,-0.375
-1.0,-0.4117647058823529
0.0,-0.3888888888888889
0.0,-0.3684210526315789
-2.0,-0.45
-1.0,-0.47619047619047616
0.0,-0.45454545454545453
1.0,-0.391304347826087
0.0,-0.375
0.0,-0.36
0.0,-0.34615384615384615
0.0,-0.3333333333333333
0.0,-0.32142857142857145
1.0,-0.27586206896551724
0.0,-0.26666666666666666
-2.0,-0.3225806451612903
0.0,-0.3125
-2.0,-0.36363636363636365
1.0,-0.3235294117647059
-2.0,-0.37142857142857144
-2.0,-0.4166666666666667
2.0,-0.35135135135135137
0.0,-0.34210526315789475
0.0,-0.3333333333333333
-1.0,-0.35
0.0,-0.34146341463414637
1.0,-0.30952380952380953
0.0,-0.3023255813953488
1.0,-0.2727272727272727
1.0,-0.24444444444444444
1.0,-0.21739130434782608
0.0,-0.2127659574468085
-1.0,-0.22916666666666666
0.0,-0.22448979591836735
1.0,-0.2
-1.0,-0.21568627450980393
0.0,-0.21153846153846154
0.0,-0.20754716981132076
0.0,-0.2037037037037037
1.0,-0.18181818181818182
0.0,-0.17857142857142858
0.0,-0.17543859649122806
-2.0,-0.20689655172413793
0.0,-0.2033898305084746
-4.0,-0.26666666666666666
0.0,-0.26229508196721313
1.0,-0.24193548387096775
-1.0,-0.25396825396825395
0.0,-0.25
0.0,-0.24615384615384617
1.0,-0.22727272727272727
0.0,-0.22388059701492538
0.0,-0.22058823529411764
0.0,-0.21739130434782608
0.0,-0.21428571428571427
0.0,-0.2112676056338028
2.0,-0.18055555555555555
1.0,-0.1643835616438356
2.0,-0.13513513513513514
0.0,-0.13333333333333333
0.0,-0.13157894736842105
0.0,-0.12987012987012986
0.0,-0.1282051282051282
1.0,-0.11392405063291139
3.0,-0.075
0.0,-0.07407407407407407
2.0,-0.04878048780487805
-1.0,-0.060240963855421686
1.0,-0.047619047619047616
0.0,-0.047058823529411764
1.0,-0.03488372093023256
1.0,-0.022988505747126436
3.0,0.011363636363636364
-2.0,-0.011235955056179775
1.0,0.0
1.0,0.01098901098901099
