scores,average_scores
0.0,0.0
0.0,0.0
1.0,0.3333333333333333
-2.0,-0.25
-1.0,-0.4
0.0,-0.3333333333333333
0.0,-0.2857142857142857
-1.0,-0.375
0.0,-0.3333333333333333
-1.0,-0.4
-1.0,-0.45454545454545453
0.0,-0.4166666666666667
0.0,-0.38461538461538464
-2.0,-0.5
0.0,-0.4666666666666667
1.0,-0.375
-1.0,-0.4117647058823529
0.0,-0.3888888888888889
0.0,-0.3684210526315789
-2.0,-0.45
-1.0,-0.47619047619047616
0.0,-0.45454545454545453
1.0,-0.391304347826087
0.0,-0.375
0.0,-0.36
0.0,-0.34615384615384615
0.0,-0.3333333333333333
0.0,-0.32142857142857145
1.0,-0.27586206896551724
0.0,-0.26666666666666666
-2.0,-0.3225806451612903
0.0,-0.3125
-2.0,-0.36363636363636365
0.0,-0.35294117647058826
0.0,-0.34285714285714286
0.0,-0.3333333333333333
0.0,-0.32432432432432434
-2.0,-0.3684210526315789
0.0,-0.358974358974359
1.0,-0.325
-1.0,-0.34146341463414637
1.0,-0.30952380952380953
2.0,-0.2558139534883721
7.0,-0.09090909090909091
3.0,-0.022222222222222223
0.0,-0.021739130434782608
1.0,0.0
0.0,0.0
0.0,0.0
-1.0,-0.02
1.0,0.0
1.0,0.019230769230769232
2.0,0.05660377358490566
0.0,0.05555555555555555
0.0,0.05454545454545454
0.0,0.05357142857142857
3.0,0.10526315789473684
2.0,0.13793103448275862
2.0,0.1694915254237288
1.0,0.18333333333333332
-1.0,0.16393442622950818
2.0,0.1935483870967742
2.0,0.2222222222222222
2.0,0.25
1.0,0.26153846153846155
3.0,0.30303030303030304
0.0,0.29850746268656714
-1.0,0.27941176470588236
1.0,0.2898550724637681
5.0,0.35714285714285715
3.0,0.39436619718309857
1.0,0.4027777777777778
1.0,0.410958904109589
6.0,0.4864864864864865
-1.0,0.4666666666666667
3.0,0.5
3.0,0.5324675324675324
0.0,0.5256410256410257
3.0,0.5569620253164557
5.0,0.6125
1.0,0.6172839506172839
0.0,0.6097560975609756
2.0,0.6265060240963856
2.0,0.6428571428571429
4.0,0.6823529411764706
1.0,0.686046511627907
0.0,0.6781609195402298
1.0,0.6818181818181818
2.0,0.6966292134831461
3.0,0.7222222222222222
5.0,0.7692307692307693
1.0,0.7717391304347826
3.0,0.7956989247311828
4.0,0.8297872340425532
4.0,0.8631578947368421
4.0,0.8958333333333334
