scores,average_scores
0.0,0.0
0.0,0.0
1.0,0.3333333333333333
-2.0,-0.25
-1.0,-0.4
0.0,-0.3333333333333333
0.0,-0.2857142857142857
-1.0,-0.375
0.0,-0.3333333333333333
-1.0,-0.4
-1.0,-0.45454545454545453
0.0,-0.4166666666666667
0.0,-0.38461538461538464
-2.0,-0.5
0.0,-0.4666666666666667
1.0,-0.375
-1.0,-0.4117647058823529
0.0,-0.3888888888888889
0.0,-0.3684210526315789
-2.0,-0.45
-1.0,-0.47619047619047616
0.0,-0.45454545454545453
1.0,-0.391304347826087
0.0,-0.375
0.0,-0.36
0.0,-0.34615384615384615
0.0,-0.3333333333333333
0.0,-0.32142857142857145
1.0,-0.27586206896551724
0.0,-0.26666666666666666
-2.0,-0.3225806451612903
0.0,-0.3125
-2.0,-0.36363636363636365
-1.0,-0.38235294117647056
-2.0,-0.42857142857142855
0.0,-0.4166666666666667
-1.0,-0.43243243243243246
0.0,-0.42105263157894735
-1.0,-0.4358974358974359
0.0,-0.425
0.0,-0.4146341463414634
2.0,-0.35714285714285715
4.0,-0.2558139534883721
2.0,-0.20454545454545456
-4.0,-0.28888888888888886
2.0,-0.2391304347826087
0.0,-0.23404255319148937
0.0,-0.22916666666666666
2.0,-0.1836734693877551
0.0,-0.18
2.0,-0.13725490196078433
1.0,-0.11538461538461539
2.0,-0.07547169811320754
1.0,-0.05555555555555555
1.0,-0.03636363636363636
-1.0,-0.05357142857142857
-1.0,-0.07017543859649122
2.0,-0.034482758620689655
0.0,-0.03389830508474576
2.0,0.0
3.0,0.04918032786885246
2.0,0.08064516129032258
0.0,0.07936507936507936
3.0,0.125
-1.0,0.1076923076923077
1.0,0.12121212121212122
2.0,0.14925373134328357
1.0,0.16176470588235295
2.0,0.18840579710144928
3.0,0.22857142857142856
3.0,0.2676056338028169
3.0,0.3055555555555556
2.0,0.3287671232876712
-1.0,0.3108108108108108
-1.0,0.29333333333333333
1.0,0.3026315789473684
1.0,0.3116883116883117
1.0,0.32051282051282054
1.0,0.3291139240506329
3.0,0.3625
3.0,0.3950617283950617
6.0,0.4634146341463415
4.0,0.5060240963855421
-1.0,0.4880952380952381
6.0,0.5529411764705883
0.0,0.5465116279069767
6.0,0.6091954022988506
3.0,0.6363636363636364
6.0,0.6966292134831461
4.0,0.7333333333333333
3.0,0.7582417582417582
3.0,0.782608695652174
5.0,0.8279569892473119
