scores,average_scores
0.0,0.0
0.0,0.0
1.0,0.3333333333333333
-2.0,-0.25
-1.0,-0.4
0.0,-0.3333333333333333
0.0,-0.2857142857142857
-1.0,-0.375
0.0,-0.3333333333333333
-1.0,-0.4
-1.0,-0.45454545454545453
0.0,-0.4166666666666667
0.0,-0.38461538461538464
-2.0,-0.5
0.0,-0.4666666666666667
1.0,-0.375
-1.0,-0.4117647058823529
0.0,-0.3888888888888889
0.0,-0.3684210526315789
-2.0,-0.45
-1.0,-0.47619047619047616
0.0,-0.45454545454545453
1.0,-0.391304347826087
0.0,-0.375
0.0,-0.36
0.0,-0.34615384615384615
0.0,-0.3333333333333333
0.0,-0.32142857142857145
1.0,-0.27586206896551724
0.0,-0.26666666666666666
-2.0,-0.3225806451612903
0.0,-0.3125
-2.0,-0.36363636363636365
-1.0,-0.38235294117647056
-6.0,-0.5428571428571428
-1.0,-0.5555555555555556
-3.0,-0.6216216216216216
-2.0,-0.6578947368421053
0.0,-0.6410256410256411
0.0,-0.625
-1.0,-0.6341463414634146
1.0,-0.5952380952380952
1.0,-0.5581395348837209
1.0,-0.5227272727272727
1.0,-0.4888888888888889
1.0,-0.45652173913043476
-2.0,-0.48936170212765956
2.0,-0.4375
1.0,-0.40816326530612246
0.0,-0.4
0.0,-0.39215686274509803
3.0,-0.3269230769230769
1.0,-0.3018867924528302
-1.0,-0.3148148148148148
0.0,-0.3090909090909091
0.0,-0.30357142857142855
-1.0,-0.3157894736842105
3.0,-0.25862068965517243
1.0,-0.23728813559322035
-1.0,-0.25
1.0,-0.22950819672131148
-2.0,-0.25806451612903225
1.0,-0.23809523809523808
1.0,-0.21875
2.0,-0.18461538461538463
0.0,-0.18181818181818182
1.0,-0.16417910447761194
0.0,-0.16176470588235295
4.0,-0.10144927536231885
3.0,-0.05714285714285714
1.0,-0.04225352112676056
0.0,-0.041666666666666664
0.0,-0.0410958904109589
2.0,-0.013513513513513514
1.0,0.0
1.0,0.013157894736842105
4.0,0.06493506493506493
0.0,0.0641025641025641
1.0,0.0759493670886076
4.0,0.125
5.0,0.18518518518518517
2.0,0.2073170731707317
2.0,0.2289156626506024
3.0,0.2619047619047619
4.0,0.3058823529411765
1.0,0.313953488372093
-1.0,0.2988505747126437
0.0,0.29545454545454547
5.0,0.34831460674157305
0.0,0.34444444444444444
0.0,0.34065934065934067
2.0,0.358695652173913
3.0,0.3870967741935484
