scores,average_scores
0.0,0.0
0.0,0.0
-1.0,-0.3333333333333333
-1.0,-0.5
-1.0,-0.6
1.0,-0.3333333333333333
0.0,-0.2857142857142857
-2.0,-0.5
1.0,-0.3333333333333333
2.0,-0.1
1.0,0.0
0.0,0.0
-1.0,-0.07692307692307693
0.0,-0.07142857142857142
2.0,0.06666666666666667
1.0,0.125
0.0,0.11764705882352941
-1.0,0.05555555555555555
0.0,0.05263157894736842
0.0,0.05
0.0,0.047619047619047616
-1.0,0.0
-1.0,-0.043478260869565216
-1.0,-0.08333333333333333
0.0,-0.08
0.0,-0.07692307692307693
0.0,-0.07407407407407407
0.0,-0.07142857142857142
1.0,-0.034482758620689655
1.0,0.0
-1.0,-0.03225806451612903
-2.0,-0.09375
2.0,-0.030303030303030304
0.0,-0.029411764705882353
0.0,-0.02857142857142857
1.0,0.0
1.0,0.02702702702702703
1.0,0.05263157894736842
0.0,0.05128205128205128
1.0,0.075
1.0,0.0975609756097561
-1.0,0.07142857142857142
0.0,0.06976744186046512
-2.0,0.022727272727272728
2.0,0.06666666666666667
0.0,0.06521739130434782
2.0,0.10638297872340426
0.0,0.10416666666666667
0.0,0.10204081632653061
1.0,0.12
0.0,0.11764705882352941
0.0,0.11538461538461539
-1.0,0.09433962264150944
5.0,0.18518518518518517
1.0,0.2
0.0,0.19642857142857142
0.0,0.19298245614035087
0.0,0.1896551724137931
1.0,0.2033898305084746
-1.0,0.18333333333333332
-1.0,0.16393442622950818
-2.0,0.12903225806451613
0.0,0.12698412698412698
2.0,0.15625
-1.0,0.13846153846153847
0.0,0.13636363636363635
1.0,0.14925373134328357
-2.0,0.11764705882352941
-1.0,0.10144927536231885
2.0,0.12857142857142856
2.0,0.15492957746478872
-2.0,0.125
0.0,0.1232876712328767
2.0,0.14864864864864866
3.0,0.18666666666666668
1.0,0.19736842105263158
2.0,0.22077922077922077
2.0,0.24358974358974358
0.0,0.24050632911392406
2.0,0.2625
0.0,0.25925925925925924
0.0,0.25609756097560976
0.0,0.25301204819277107
0.0,0.25
0.0,0.24705882352941178
1.0,0.2558139534883721
4.0,0.2988505747126437
1.0,0.3068181818181818
-1.0,0.29213483146067415
5.0,0.34444444444444444
4.0,0.38461538461538464
6.0,0.44565217391304346
3.0,0.4731182795698925
3.0,0.5
2.0,0.5157894736842106
0.0,0.5104166666666666
2.0,0.5257731958762887
0.0,0.5204081632653061
