scores,average_scores,std
18.0,18.0,0.0
11.0,14.5,3.5
10.0,13.0,3.559026084010437
19.0,14.5,4.031128874149275
28.0,17.2,6.493073232299171
17.0,17.166666666666668,5.927806414592913
21.0,17.714285714285715,5.649634266652911
54.0,22.25,13.112494041943355
21.0,22.11111111111111,12.368817822289552
25.0,22.4,11.766052864066182
22.0,22.363636363636363,11.21908055925446
10.0,21.333333333333332,11.271892279273944
18.0,21.076923076923077,10.866048311928296
16.0,20.714285714285715,10.552105892925365
46.0,22.4,11.987771547150317
18.0,22.125,11.65587298317891
61.0,24.41176470588235,14.54428864468561
32.0,24.833333333333332,14.240981551689321
20.0,24.57894736842105,13.903107526447704
47.0,25.7,14.405207391773294
11.0,25.0,14.402380755575496
62.0,26.681818181818183,16.043651714325467
122.0,30.82608695652174,24.981127091767643
22.0,30.458333333333332,24.518664942356782
14.0,29.8,24.238811852068988
21.0,29.46153846153846,23.82828114339179
25.0,29.296296296296298,23.398029063584747
25.0,29.142857142857142,22.99023750221305
37.0,29.413793103448278,22.635823364867242
14.0,28.9,22.42669540228044
43.0,29.35483870967742,22.20222073620445
19.0,29.03125,21.92670229280956
41.0,29.393939393939394,21.689180928049364
45.0,29.852941176470587,21.529914008927996
25.0,29.714285714285715,21.235511267108926
18.0,29.38888888888889,21.026805349597844
22.0,29.18918918918919,20.775294368536457
20.0,28.94736842105263,20.552816900572935
16.0,28.615384615384617,20.39056516943545
63.0,29.475,20.837451259691047
97.0,31.121951219512194,23.067446306853554
26.0,31.0,22.804552594769735
39.0,31.186046511627907,22.570051997295604
16.0,30.84090909090909,22.42659053021474
14.0,30.466666666666665,22.314519438647512
33.0,30.52173913043478,22.073729349844985
10.0,30.085106382978722,22.037520989704383
9.0,29.645833333333332,22.013716920113442
20.0,29.448979591836736,21.830573229537418
16.0,29.18,21.693031139054774
18.0,28.96078431372549,21.535161202375587
19.0,28.76923076923077,21.37091426054021
47.0,29.11320754716981,21.313172804504262
9.0,28.74074074074074,21.288307680408693
37.0,28.89090909090909,21.122734608837273
19.0,28.714285714285715,20.974231031123377
17.0,28.50877192982456,20.846239769486758
46.0,28.810344827586206,20.790794462065477
31.0,28.847457627118644,20.615785920734638
27.0,28.816666666666666,20.44463390612695
22.0,28.704918032786885,20.294830370007524
26.0,28.661290322580644,20.133380682088795
71.0,29.333333333333332,20.662057857837755
25.0,29.265625,20.50704314033047
25.0,29.2,20.35545664888448
58.0,29.636363636363637,20.50471960722211
19.0,29.47761194029851,20.391949105640236
19.0,29.323529411764707,20.280707419259453
21.0,29.202898550724637,20.15776881929934
28.0,29.185714285714287,20.013775867881503
57.0,29.577464788732396,20.140815522483987
33.0,29.625,20.00446998659161
26.0,29.575342465753426,19.87144837446822
49.0,29.83783783783784,19.863743303510482
36.0,29.92,19.743528897675137
18.0,29.763157894736842,19.66018446468892
23.0,29.675324675324674,19.547106975927463
15.0,29.487179487179485,19.491446901169695
29.0,29.481012658227847,19.367767010539012
24.0,29.4125,19.25596904209186
42.0,29.567901234567902,19.18714736458355
45.0,29.75609756097561,19.144865563745714
92.0,30.50602409638554,20.20460015255735
32.0,30.523809523809526,20.084628207896532
27.0,30.48235294117647,19.969748747841148
60.0,30.825581395348838,20.10391137487818
131.0,31.977011494252874,22.661414373636546
23.0,31.875,22.55236960942242
97.0,32.60674157303371,23.452374871971127
34.0,32.62222222222222,23.322177227207668
48.0,32.79120879120879,23.249018168335002
26.0,32.71739130434783,23.133039653912533
75.0,33.17204301075269,23.417952701492347
49.0,33.340425531914896,23.3495879919409
67.0,33.694736842105264,23.479027005846607
19.0,33.541666666666664,23.40402238695069
50.0,33.71134020618557,23.342346264497113
88.0,34.265306122448976,23.855239881507128
69.0,34.61616161616162,23.987247062354733
20.0,34.47,23.91127558287094
67.0,34.96,24.070280430439528
116.0,36.01,25.262816549229026
44.0,36.35,25.138963781349464
40.0,36.56,25.08079743548837
110.0,37.38,26.10700289194453
110.0,38.31,27.005442044151028
59.0,38.69,27.026540659137268
30.0,38.45,26.996064528001114
26.0,38.5,26.96831474156292
50.0,38.75,26.957883819024072
31.0,38.84,26.91680515960243
33.0,39.07,26.76723930479197
100.0,39.89,27.358689661604778
98.0,40.71,27.854728503433666
75.0,41.0,28.05851029545225
29.0,41.11,27.989603426986957
48.0,40.98,27.927040659547156
31.0,40.97,27.930433222562083
47.0,41.24,27.856819631824447
72.0,41.49,28.019098843467468
44.0,41.82,27.85188683015928
136.0,42.56,29.3224555588375
35.0,41.69,28.22257784115406
63.0,42.1,28.231365535517405
75.0,42.71,28.27659632982725
86.0,43.36,28.516142796668696
48.0,43.59,28.45982958487278
76.0,44.1,28.578838324886476
27.0,44.0,28.620971332224208
81.0,44.67,28.694966457551402
34.0,44.58,28.714170717609104
77.0,45.16,28.77732440655316
27.0,45.02,28.831226127239198
34.0,44.91,28.852069249882234
102.0,45.68,29.333898479404336
30.0,45.8,29.244828602677774
69.0,46.27,29.23622923702713
77.0,46.84,29.274125093672744
27.0,46.95,29.17854520019804
37.0,46.69,29.150195539652902
135.0,47.07,30.037727943371483
121.0,48.02,30.847683867674732
102.0,48.65,31.297084528754432
54.0,49.03,31.128589752830113
107.0,49.96,31.45565767870702
85.0,50.48,31.60046835095961
52.0,50.9,31.33767700388783
85.0,51.66,31.23370615216837
55.0,52.01,31.07265518104303
